GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-aspects,org.spf4j.perf.aspects,Counter,3,5,0,0,2,1,1,1,1,1
spf4j-aspects,org.spf4j.perf.aspects,Counter.new ThreadLocal() {...},0,8,0,0,0,2,0,2,0,2
spf4j-aspects,org.spf4j.perf.aspects,PerformanceMonitorAspect.new CacheLoader() {...},0,10,0,0,0,2,0,2,0,2
spf4j-aspects,org.spf4j.perf.aspects,NetworkMonitorAspect,74,47,8,0,16,11,8,4,4,4
spf4j-aspects,org.spf4j.perf.aspects,PerformanceMonitorAspect,70,78,4,2,7,16,3,3,0,3
spf4j-aspects,org.spf4j.perf.aspects,AllocationMonitorAspect,15,29,2,2,3,10,2,3,0,3
spf4j-aspects,org.spf4j.perf.aspects,FileMonitorAspect,106,51,7,1,18,12,10,5,6,5
spf4j-aspects,org.spf4j.perf.aspects,SamplingAllocationMonitorAspect,0,45,0,2,0,12,0,4,0,3
spf4j-aspects,org.spf4j.annotations,VoidPredicate,7,0,0,0,2,0,2,0,2,0
spf4j-aspects,org.spf4j.annotations,RecorderSourceInstance,3,0,0,0,2,0,1,0,1,0
spf4j-aspects,org.spf4j.annotations,RecorderSourceInstance.Rs1h,14,0,0,0,3,0,2,0,2,0
spf4j-aspects,org.spf4j.annotations,RecorderSourceInstance.Rs5m,14,0,0,0,3,0,2,0,2,0
spf4j-aspects,org.spf4j.annotations,RecorderSourceInstance.Rs15m,14,0,0,0,3,0,2,0,2,0
spf4j-aspects,org.spf4j.annotations,RecorderSourceInstance.Rs1m,14,0,0,0,3,0,2,0,2,0
spf4j-aspects,org.spf4j.annotations,RecorderSourceInstance.RsNop,4,3,0,0,1,1,1,1,1,1
spf4j-aspects,org.spf4j.aspects,RetryAspect,43,0,2,0,9,0,3,0,2,0
spf4j-aspects,org.spf4j.aspects,RetryAspect.new Callables.TimeoutCallable() {...},23,0,0,0,6,0,2,0,2,0
