GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation,Validator.Result,60,0,2,0,14,0,11,0,10,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation,Validators,274,0,34,0,52,0,22,0,5,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation,Validators.ConfiguredValidatorMojo,96,0,6,0,18,0,15,0,12,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation.impl,SchemaNamesValidator,109,0,0,0,17,0,4,0,4,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation.impl,SchemaNamesValidator.NamesValidatorVisitor,237,0,30,0,44,0,22,0,7,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation.impl,SchemaDocValidator.DocValidatorVisitor,226,0,32,0,40,0,21,0,5,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation.impl,SchemaDocValidator,39,0,4,0,10,0,7,0,5,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp.validation.impl,SchemaCompatibilityValidator,781,71,75,5,147,17,48,4,10,1
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SchemaPackageMojo,263,0,6,0,45,0,7,0,4,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SchemaMojoBase,136,0,4,0,28,0,11,0,9,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SourceLocation,30,46,0,0,6,10,2,4,2,4
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SchemaValidatorMojo,281,0,16,0,55,0,14,0,6,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SchemaCompileMojo,1986,0,88,0,394,0,75,0,31,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SchemaDependenciesMojo,327,0,28,0,66,0,20,0,6,0
spf4j-maven-avro-schema-plugin - 8.8.5-SNAPSHOT,org.spf4j.maven.plugin.avro.avscp,SchemaMojoBase.new SchemaResolver() {...},99,0,6,0,13,0,6,0,3,0
