GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-avro,org.spf4j.avro.csv,CsvDecoder,574,366,53,23,106,101,48,21,13,18
spf4j-avro,org.spf4j.avro.csv,CsvEncoder,124,302,4,12,16,75,10,23,6,18
spf4j-avro,org.spf4j.avro,SchemaRef,160,0,8,0,27,0,10,0,6,0
spf4j-avro,org.spf4j.avro,DecodedSchema,17,15,0,0,1,6,1,3,1,3
spf4j-avro,org.spf4j.avro,GenericRecordBuilder,83,137,1,5,18,37,3,8,2,6
spf4j-avro,org.spf4j.avro.schema,SchemaUtils,393,695,51,60,78,179,37,43,1,20
spf4j-avro,org.spf4j.avro.schema,CloningVisitor,158,206,17,13,20,49,15,11,1,7
spf4j-avro,org.spf4j.avro.schema,Schemas,461,466,73,57,75,112,55,34,4,11
spf4j-avro,org.spf4j.avro.schema,ImmutableCloningVisitor,158,205,19,15,20,46,17,10,1,6
spf4j-avro,org.spf4j.avro.schema,SchemaVisitor,0,2,0,0,0,1,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,SchemaVisitorAction,0,44,0,0,0,5,0,1,0,1
spf4j-avro,org.spf4j.avro.schema,SchemasWithClasses,12,41,0,4,1,10,1,7,1,5
