GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-core,org.spf4j.pool.impl,ObjectHolderFactory,41,30,3,3,8,9,5,3,2,3
spf4j-core,org.spf4j.pool.impl,ObjectPoolBuilder.1.new Scanable.ScanHandler() {...},0,10,0,0,0,3,0,2,0,2
spf4j-core,org.spf4j.pool.impl,SimpleSmartObjectPool,386,417,59,33,45,90,34,20,0,8
spf4j-core,org.spf4j.pool.impl,LocalObjectPool,158,232,13,19,15,57,14,12,2,8
spf4j-core,org.spf4j.pool.impl,ObjectPoolBuilder,34,75,2,4,11,18,7,4,5,3
spf4j-core,org.spf4j.pool.impl,ObjectPoolBuilder.new AbstractRunnable() {...},0,29,1,1,0,5,1,2,0,2
spf4j-core,org.spf4j.pool.impl,ScalableObjectPool,0,62,0,0,0,13,0,7,0,7
spf4j-core,org.spf4j.pool.impl,ObjectHolder,84,110,15,13,21,28,13,11,2,8
spf4j-core,org.spf4j.pool.impl,ObjectPoolWrapper,113,0,10,0,31,0,10,0,5,0
spf4j-core,org.spf4j.pool.impl,ScalableObjectPool.new ThreadLocal() {...},0,13,0,0,0,2,0,2,0,2
spf4j-core,org.spf4j.perf.annotations,RecorderSourceInstance,3,0,0,0,2,0,1,0,1,0
spf4j-core,org.spf4j.perf.annotations,RecorderSourceInstance.Rs5m,14,0,0,0,2,0,2,0,2,0
spf4j-core,org.spf4j.perf.annotations,RecorderSourceInstance.Rs15m,14,0,0,0,2,0,2,0,2,0
spf4j-core,org.spf4j.perf.annotations,RecorderSourceInstance.RsNop,7,0,0,0,2,0,2,0,2,0
spf4j-core,org.spf4j.perf.annotations,RecorderSourceInstance.Rs1h,14,0,0,0,2,0,2,0,2,0
spf4j-core,org.spf4j.perf.annotations,RecorderSourceInstance.Rs1m,14,0,0,0,2,0,2,0,2,0
spf4j-core,org.spf4j.perf.impl.chart,QuantizedXYZDatasetImpl.NumberTickUnitImpl,120,34,18,2,19,10,12,2,2,2
spf4j-core,org.spf4j.perf.impl.chart,QuantizedXYZDatasetImpl,70,323,6,20,12,73,14,20,8,13
spf4j-core,org.spf4j.perf.impl.chart,Charts,30,449,4,14,6,79,4,14,1,8
spf4j-core,org.spf4j.perf.impl.chart,QuantizedXYZDatasetImpl.new NumberTickUnit() {...},4,39,2,4,2,8,2,3,0,2
spf4j-core,org.spf4j.perf.impl.chart,InverseGrayScale,118,89,13,5,23,17,13,6,5,5
spf4j-core,org.spf4j.concurrent,RetryExecutor.RetryableCallable.new Callable() {...},21,0,0,0,3,0,2,0,2,0
spf4j-core,org.spf4j.concurrent,RetryExecutor.RetryManager,31,131,2,8,12,20,3,5,1,2
spf4j-core,org.spf4j.concurrent,RetryExecutor.new FutureBean() {...},0,13,0,0,0,3,0,2,0,2
spf4j-core,org.spf4j.concurrent,FutureBean,43,35,5,3,11,12,8,6,5,5
spf4j-core,org.spf4j.concurrent,RetryExecutor,155,83,7,5,36,24,17,6,13,4
spf4j-core,org.spf4j.concurrent,RetryExecutor.RetryableCallable,25,60,2,2,5,15,3,3,1,3
spf4j-core,org.spf4j.concurrent,RetryExecutor.FailedExecutionResult,37,60,9,3,9,18,7,8,2,7
spf4j-core,org.spf4j.pool,ObjectBorower,0,5,0,0,0,1,0,1,0,1
spf4j-core,org.spf4j.pool,Template.new Callable() {...},20,0,0,0,3,0,2,0,2,0
spf4j-core,org.spf4j.pool,PoolException,12,4,0,0,6,2,3,1,3,1
spf4j-core,org.spf4j.pool,Template,67,13,2,0,18,6,3,1,2,1
spf4j-core,org.spf4j.pool,ObjectCreationException,16,0,0,0,8,0,4,0,4,0
spf4j-core,org.spf4j.pool,ObjectBorrowException,16,0,0,0,8,0,4,0,4,0
spf4j-core,org.spf4j.pool,ObjectReturnException,16,0,0,0,8,0,4,0,4,0
spf4j-core,org.spf4j.pool,ObjectDisposeException,12,4,0,0,6,2,3,1,3,1
spf4j-core,org.spf4j.perf.tsdb,DataFragment,61,274,0,8,5,67,3,17,3,13
spf4j-core,org.spf4j.perf.tsdb,Header,78,88,3,3,12,28,7,3,4,3
spf4j-core,org.spf4j.perf.tsdb,ColumnInfo,55,453,1,11,7,100,4,22,3,17
spf4j-core,org.spf4j.perf.tsdb,TableOfContents,45,122,0,0,2,40,2,6,2,6
spf4j-core,org.spf4j.perf.tsdb,TimeSeriesDatabase,230,483,8,28,29,94,14,24,8,12
spf4j-core,org.spf4j.base,RTree,1565,437,181,47,254,77,122,23,19,12
spf4j-core,org.spf4j.base,Strings,4,120,3,17,2,34,4,10,1,3
spf4j-core,org.spf4j.base,Runtime.LineCountCharHandler,19,0,2,0,7,0,4,0,3,0
spf4j-core,org.spf4j.base,Runtime.StringBuilderCharHandler,19,0,0,0,6,0,3,0,3,0
spf4j-core,org.spf4j.base,Throwables.new PrivilegedAction() {...},12,18,0,0,4,4,0,2,0,2
spf4j-core,org.spf4j.base,Throwables.new PrivilegedAction() {...},0,8,0,0,0,3,0,2,0,2
spf4j-core,org.spf4j.base,AbstractRunnable,16,32,2,2,5,13,2,4,0,4
