GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-jdiff-maven-plugin,org.spf4j.maven,MavenRepositoryUtils,14,282,2,6,2,62,2,13,0,11
spf4j-jdiff-maven-plugin,org.spf4j.maven,MavenRepositoryUtils.new DefaultServiceLocator.ErrorHandler() {...},18,3,0,0,2,1,1,1,1,1
spf4j-jdiff-maven-plugin,org.spf4j.maven,MavenRepositoryUtils.new AbstractRepositoryListener() {...},5,3,0,0,2,1,1,1,1,1
spf4j-jdiff-maven-plugin,org.spf4j.jdiff.utils,Compress,275,187,22,12,57,42,19,6,4,4
spf4j-jdiff-maven-plugin,org.spf4j.jdiff.utils,Compress.new SimpleFileVisitor() {...},0,48,0,0,0,9,0,3,0,3
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiChangesMojo,175,0,4,0,36,0,15,0,13,0
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JDiffRunner,121,854,10,26,20,144,11,18,1,10
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiDescriptorMojo,88,0,0,0,13,0,5,0,5,0
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiDiffCmd.Options,0,25,0,0,0,7,0,1,0,1
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,ApiDiffCmd,22,33,0,0,6,7,0,1,0,1
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,BaseJDiffMojo,361,0,40,0,55,0,35,0,15,0
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JavadocExecutionException,9,0,0,0,4,0,2,0,2,0
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JavadocExecutor,62,60,2,2,7,16,4,4,2,4
spf4j-jdiff-maven-plugin,org.spf4j.jdiff,JDiffUtils,0,43,0,4,0,9,0,3,0,1
