GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-ui,org.spf4j.tsdb2,Charts,476,0,28,0,80,0,25,0,11,0
spf4j-ui,org.spf4j.ui,HotFlameStackPanel,178,610,11,41,34,113,10,27,4,7
spf4j-ui,org.spf4j.ui,StackPanelBase.new ClipboardOwner() {...},7,0,0,0,2,0,2,0,2,0
spf4j-ui,org.spf4j.ui,StackPanelBase.new Transferable() {...},23,0,0,0,4,0,4,0,4,0
spf4j-ui,org.spf4j.ui,TSDBViewJInternalFrame,833,0,36,0,192,0,24,0,6,0
spf4j-ui,org.spf4j.ui,StackDumpJInternalFrame,445,0,26,0,96,0,18,0,5,0
spf4j-ui,org.spf4j.ui,TextEntryPanel,290,0,10,0,75,0,9,0,4,0
spf4j-ui,org.spf4j.ui,ComposableFileFilter.new ComposableFileFilter() {...},54,0,4,0,8,0,5,0,3,0
spf4j-ui,org.spf4j.ui,Rectangle,54,0,0,0,11,0,6,0,6,0
spf4j-ui,org.spf4j.ui,TextEntryPanel.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,HotFlameStackPanel.SComparator,0,75,0,16,0,21,0,10,0,2
spf4j-ui,org.spf4j.ui,TSDBViewJInternalFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,FlameStackPanel,100,157,6,6,17,30,6,6,3,3
spf4j-ui,org.spf4j.ui,TSDBViewJInternalFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,ComposableFileFilter,9,0,0,0,2,0,2,0,2,0
spf4j-ui,org.spf4j.ui,StackPanelBase,202,354,15,4,41,70,21,13,11,12
spf4j-ui,org.spf4j.ui,Explorer.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,Explorer.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,Explorer.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,Explorer.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,Sampled,81,0,8,0,20,0,10,0,6,0
spf4j-ui,org.spf4j.ui,TSDB2ViewJInternalFrame,850,0,38,0,197,0,25,0,6,0
spf4j-ui,org.spf4j.ui,Arrow2D,8,82,0,0,4,18,2,3,2,3
spf4j-ui,org.spf4j.ui,Explorer,991,20,38,0,226,4,33,1,14,1
spf4j-ui,org.spf4j.ui,Explorer.new AbstractRunnable() {...},38,0,2,0,6,0,3,0,2,0
spf4j-ui,org.spf4j.ui,Explorer.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,TSDB2ViewJInternalFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,StackDumpJInternalFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,TSDB2ViewJInternalFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,UncaughtExceptionDisplayer,155,0,22,0,42,0,16,0,5,0
spf4j-ui,org.spf4j.ui,TextEntryPanel.TextTransferHandler,134,0,14,0,39,0,13,0,6,0
spf4j-ui,org.spf4j.ui,StackDumpJInternalFrame.new ItemListener() {...},11,0,0,0,3,0,2,0,2,0
spf4j-ui,org.spf4j.ui,Spf4jFileFilter,90,0,0,0,16,0,6,0,6,0
spf4j-ui,org.spf4j.perf.tsdb,TableOfContents,22,85,0,0,1,29,1,9,1,9
spf4j-ui,org.spf4j.perf.tsdb,TSTable,91,406,6,8,19,88,11,19,7,16
spf4j-ui,org.spf4j.perf.tsdb,TimeSeriesDatabase,1408,950,100,50,287,203,90,37,34,18
spf4j-ui,org.spf4j.perf.tsdb,Header,52,66,3,3,8,20,7,3,4,3
spf4j-ui,org.spf4j.perf.tsdb,DataFragment,53,234,0,8,8,52,4,16,4,12
spf4j-ui,org.spf4j.stackmonitor.proto,Converter,63,40,3,3,15,10,5,2,3,1
spf4j-ui,org.spf4j.perf.impl.chart,QuantizedXYZDatasetImpl,467,0,28,0,95,0,36,0,22,0
